time,elapsed_s,anon,slab,file,inactive_file,current,used_memory,keys
05:56:40Z,0,7352320,682456,9887744,7868416,20144128,7159456,35118
05:57:40Z,60,7360512,680968,8224768,6201344,19144704,7162416,35139
05:58:40Z,121,7364608,680512,8224768,6201344,19406848,7165200,35158
05:59:40Z,181,7372800,682536,8224768,6201344,19165184,7167424,35173
06:00:41Z,241,7372800,681624,8224768,6201344,19165184,7169904,35190
06:01:41Z,301,7344128,664680,8224768,6201344,19423232,7172528,35209
06:02:41Z,361,7368704,682720,8151040,6062080,19001344,7174496,35224
06:03:41Z,421,7376896,681552,8232960,6062080,19181568,7177248,35244
06:04:41Z,482,7376896,682736,8232960,6062080,19177472,7180176,35264
06:05:42Z,542,7389184,682096,8232960,6062080,19447808,7183008,35285
06:06:42Z,602,7393280,677864,8232960,6062080,19173376,7185904,35305
06:07:42Z,662,7438336,681296,8093696,5922816,18780160,7188384,35322
06:08:42Z,722,7389184,680784,8232960,5922816,18927616,7191616,35344
06:09:42Z,782,7401472,682296,8232960,5922816,19185664,7194208,35363
